Region,SiteName,DiveRating,GPS Lat,GPS lgt,Max Depth,Lat,Lng,col,WebSites
Metropolitan,Glenelg Blocks,Open Water,34 58 406 S,138 30 494 E,8,-34.97,138.5,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Glenelg Blocks:</a>"""
Metropolitan,Glenegh Jetty,Open Water,,,6,-34.98055958,138.5083616,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Glenegh Jetty</a>"""
Metropolitan,Broken Bottom,Open Water,34 57 701 S,138 28 923 E,11,-34.95,138.47,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Broken Bottom</a>"""
Metropolitan,Glenelg Barge,Open Water,34 58 702 S,138 26 447 E,18,-34.97,138.44,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Glenelg Barge</a>"""
Metropolitan,Glenelg Dredge,Open Water,34:58:667 S, 138:26:441 E,20,-34.97,138.434,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Glenelg Dredge</a>"""
Metropolitan,Glenelg Tyre Reef,Open Water,34:58:903 S,138:26:605 E,18,-34.9691667,138.435,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Glenelg Tyre Reef</a>"""
Metropolitan,Seacliff Reef,Open Water,35:02:264 S,138:29:440 E,15,-35.0338889,138.4844444,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Seacliff Reef</a>"""
Metropolitan,Stanvac Barges,Advanced ,35 07 012 S,138 24 122 E,28,-35.1166667,138.4002778,Orange,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Stanvac Barges</a>"""
Metropolitan,The Norma,Open Water,34 49 349 S,138 25 111 E,15,-34.8175,138.4169444,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>The Norma</a>"""
Metropolitan,The John Robb,Advanced,34 49 380 S,138 20 266 E,20,-34.8175,138.4838889,Orange,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>The John Robb</a>"""
Metropolitan,Leather Jacket Alley,Open Water,34 58 163 S,138 28832 E,10,-34.9669444,138.4688889,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Leather Jacket Alley</a>"""
Metropolitan,HA Lumb,Open Water,35 08 881 S,138 26 530 E,20,-35.1577778,138.4480556,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>HA Lumb</a>"""
Metropolitan,Mac's Ground,Open Water,34 58 550 S,138 27 084 E,17,-34.9819444,138.4522222,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Mac's Ground</a>"""
Metropolitan,Noarlunga Tyre Reef,Open Water,35 08 900 S,138 26 500 E,18,-35.1583333,138.4472222,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Noarlunga Tyre Reef</a>"""
Metropolitan,Port Noarlunga,Open Water,,,12,-35.14935433,138.4644002,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Port Noarlunga</a>"""
Fleurieu Peninsula,Rapid Bay,Open Water,,,10,-35.51993203,138.1848335,Green,"""<a href='http://www.sdfsa.net/fleurieu.htm'>Rapid Bay</a>"""
Yorke Peninsula,Edithburgh Jetty,Open Water,,,10,-35.08492132,137.7492642,Green,"""<a href='http://www.sdfsa.net/yorke_peninsula.htm'>Edithburgh Jetty</a>"""
Fleurieu Peninsula,Ex-HMAS Hobart,Advanced,,,31,-35.481,138.157,Orange,"""<a href='http://www.sdfsa.net/fleurieu.htm'>Ex-HMAS Hobart</a>"""
Metropolitan,MV Seawolf,Open Water,35 08 879 S,138 26 525 E ,18,-35.1355556,138.4347222,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>MV Seawolf</a>"""
Fleurieu Peninsula,Star of Greece,Open Water,35:15:143 S,138:27:562 E,8,-35.2502778,138.4513889,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Star of Greece</a>"""
Fleurieu Peninsula,Second Valley,Open Water,,,10,-35.51122104,138.2141501,Green,"""<a href='http://www.sdfsa.net/fleurieu.htm'>Second Valley</a>"""
Fleurieu Peninsula,The Bluff,Advanced,,,30,-35.5887483,138.6049104,Orange,"""<a href='http://www.sdfsa.net/fleurieu.htm'>The Bluff</a>"""
Fleurieu Peninsula,Aldinga Drop Off,Advanced,36:16:270 S,138:25:799 E,20,-36.2666667,138.4166667,Orange,"""<a href='http://www.sdfsa.net/fleurieu.htm'>Aldinga Drop Off</a>"""
Metropolitan,Claris,Open Water,35:00:250 S,138:21:089 E,28,-35.0005556,138.35,Green,"""<a href='http://www.sdfsa.net/adelaide_metro.htm'>Claris</a>"""
